# TRAIT AUDIT — does the trait/excess/inverse triple intersect all three of its axes?
#
# A triple is authored, not derived, but it has to read as a plausible collision of the
# bean, the flavour and the form. Nothing checked that until this file. Diagnostic only:
# nothing here rewrites anything. Sheets and the report: `node scripts/trait-audit.mjs`.
#
# COLUMNS
#   b / f / m   bean, flavour, form — 0-3 each
#   min         the headline. A sum hides the real failure: a fine trait that ignores
#               one axis completely. A triple is only as good as its weakest axis.
#   exc / inv   ok | weak | wrong
#   note        which axis is weakest, and why
#
# THE 0-3 SCALE
#   3  load-bearing. Take the axis away and the trait stops making sense.
#   2  present and consistent, but would survive a swap to one neighbour on this axis.
#   1  compatible but generic — several values on this axis would serve equally.
#   0  absent, or contradicted: the trait belongs to a different value on the axis.
#
#   EXCESS — the same quality overdone. Not a different vice, not the trait plus an
#   intensifier. Test: does it still describe someone doing the trait, past the point
#   where it serves them?
#   INVERSE — a disposition someone could hold and defend, not the trait's absence.
#   Test: could facetLeast be written as a person choosing it, with its own freedom
#   and its own price?
#
# SCORED COMPARATIVELY, NEVER ONE ENTRY AT A TIME. An absolute judgement on a single
# adjective is noise — any word can be argued into any cell. Each score comes from a
# reading that holds two axes fixed and varies the third: 30 column readings (12 beans,
# one preparation) for b, 12 grid readings (one bean's 5x6) for f and m.
#
# NO STRUCTURAL SIGNAL SCORES ANYTHING HERE. Against the 21.9% base approved rate,
# "trait lifted verbatim from a parent's list" is 30% approved and "over-/self- excess"
# is 40% — both fire MORE on approved. Bare-negation inverse is 17%, shared stem 21%.
# They print as context on the sheets and stay out of the score. Anchor 4 below is a
# verbatim lift and a 3/3/3.
#
# ============ THE ANCHORS — what a 3 looks like, taken from approved entries ============
# Approval is the spec. These eleven were read first and the scale was set to them, so a
# draft scoring 1 means "unlike these", not "unlike a rule I invented". Spread over all
# 5 flavours, all 6 forms, 8 beans.
#
#  1. spicy-dried-navy — tough / closed-off / skittish
#     FACETS.md's own worked example. Navy stores well and never fails; spicy is heat
#     demanding your whole attention; dried alone among the forms UNDERGOES NOTHING.
#     Tough is heat taken with no visible change — remove any axis and it collapses.
#     Excess: toughness past its use, not a new vice. Inverse: skittish is a person.
#
#  2. spicy-boiled-navy — rigid / obstinate / yielding
#     Same bean, same flavour, form swapped, and the trait moves — which is the whole
#     test. THE FORM IS LOAD-BEARING BY CONTRAST, not agreement: boiled is immersion,
#     where everything softens, and rigid is what navy does in that pot instead. A 3
#     does not require the trait to agree with its axis, only to need it. (The inverse
#     is boiled's own positiveTrait — the form's virtue is what refusing it costs.)
#
#  3. bitter-dried-cannellini — ascetic / self-denying / hedonistic
#     Three-way agreement, each irreplaceable: cannellini is "the refusal of the
#     unnecessary", dried takes away "only what is inessential", bitter is the flavour
#     children reject and cultivated palates seek. Ascetic is all three at once.
#
#  4. umami-boiled-chickpea — adaptable / shapeless / set
#     Lifted verbatim from the bean's list and still a 3/3/3, which is why the verbatim
#     check scores nothing. The bean file's own line is that a chickpea "holds its shape
#     in a slow braise or dissolves into something entirely new" — the braise IS boiled,
#     and umami is the slowness that gives it time to choose. Excess "shapeless" is the
#     adapting continued past the point of having a self.
#
#  5. sour-fried-cannellini — meticulous / obsessive / sloppy
#     Cannellini is exacting; sour is incisive. The form is what makes it cost something:
#     "oil offers no second attempt". Meticulous under fried is care that has to be right
#     the first time, which is a different creature from meticulous under boiled.
#
#  6. bitter-fried-edamame — decisive / peremptory / dithering
#     The second verbatim lift (from the form) that is still a 3. Edamame "reaches
#     conclusions while others are still framing the question"; fried is "the doing is
#     the thinking"; bitter is what makes it cold rather than eager. Excess "peremptory"
#     keeps the quality and removes the room for anyone else.
#
#  7. umami-roasted-adzuki — warm / presumptuous / frosty
#     Roasted develops outward "where everyone can see"; umami is depth arrived at
#     slowly; adzuki convenes. Warm is the convening turned outward and left to deepen.
#     Excess is the good test: presumptuous is warmth that has stopped asking, not a
#     separate fault.
#
#  8. sweet-smoked-butter — hazy / befogged / crisp
#     Anchors the flavour as TEMPER. Smoked supplies the haze; butter supplies the lack
#     of hurry; sweet is the only reason it is comfortable instead of sinister — the
#     same cell under bitter is eerie (bitter-smoked-green), and it is the flavour alone
#     that separates them.
#
#  9. umami-smoked-edamame — prescient / fatalistic / blindsided
#     Smoked's own line is that what a smoked bean says "surfaces in the listener's mind
#     hours later"; edamame sees what is there and skips the preamble; umami is the
#     depth that makes it earned rather than lucky.
#
# 10. sweet-roasted-kidney — cherishing / possessive / uncaring
#     Kidney protects and stands between; roasted does it in the open; sweet makes it
#     affection rather than guard duty. Excess "possessive" is the bean's own shadow
#     reached by continuing the trait, which is exactly the relation excess should have.
#
# 11. bitter-fermented-pinto — artistic / precious / philistine
#     Fermented is transformation from within, in conditions no one sees; pinto turns
#     "the swirling interior landscape into something others can touch"; bitter is the
#     acquired taste that stops it being merely expressive. Excess "precious" is the
#     interior work valued past what it made.
#
# =======================================================================================
slug	bean	flavour	form	trait	excess	inverse	b	f	m	min	exc	inv	approved	note
spicy-boiled-cannellini	cannellini	spicy	boiled	painstaking	laborious	perfunctory	3	0	3	0	weak	ok	n	painstaking has no spice in it at all; exc: laborious is a near-synonym
sweet-dried-mung	mung	sweet	dried	tender	tremulous	hard	3	3	0	0	weak	ok	n	TENDERNESS IS THE ONE THING DRYING REMOVES ("the moisture that made the Bean soft") and the trait never registers it
sour-smoked-navy	navy	sour	smoked	resolute	stubborn	malleable	2	1	1	1	ok	ok	n	bean: resolute is BLACK's own positiveTrait | resolute is BLACK's own positiveTrait; neither sour nor smoke earns it
spicy-boiled-chickpea	chickpea	spicy	boiled	resourceful	opportunistic	helpless	2	1	1	1	ok	weak	n	bean: resourceful is EDAMAME's own positiveTrait | resourceful is the bean's own word and neither axis adds to it
bitter-boiled-pinto	pinto	bitter	boiled	contemplative	abstracted	unreflective	1	2	2	1	weak	weak	n	bean: contemplative belongs to black or butter; nothing in it is the Dreamer | exc: abstracted is a different state; inv is a bare negation
bitter-fried-mung	mung	bitter	fried	austere	callous	saccharine	1	3	1	1	weak	ok	n	bean: austerity contradicts the Healer's nurture and the entry never registers it | austerity owes nothing to hot oil; dried owns this. exc: callous names cruelty
bitter-smoked-fava	fava	bitter	smoked	otherworldly	unearthly	earthbound	1	1	3	1	weak	ok	n	bean: the Daredevil has no business being otherworldly; pinto or mung own it | otherworldly owes nothing to bitter; exc: unearthly is a near-synonym
sour-boiled-black	black	sour	boiled	methodical	mechanical	haphazard	2	1	2	1	ok	ok	n	bean: methodical is navy's or edamame's | methodical owes nothing to sour; any flavour would do
sour-boiled-mung	mung	sour	boiled	impartial	detached	biased	1	2	2	1	ok	weak	n	bean: impartiality is chickpea's mediating or cannellini's judgement, not the Healer's | inv: biased is a fault, not a chosen stance
sour-fried-navy	navy	sour	fried	particular	finicky	unfussy	2	2	1	1	weak	ok	n	bean: particular is cannellini's | particularity is slow and owes nothing to the pan; exc: finicky is a near-synonym
sour-smoked-fava	fava	sour	smoked	clear-eyed	merciless	squeamish	2	1	2	1	weak	ok	n	bean: clear-eyed is black's or edamame's | clear-eyed is BITTER's own positiveTrait; exc: merciless is a different vice
spicy-boiled-adzuki	adzuki	spicy	boiled	spirited	rowdy	listless	3	1	1	1	ok	ok	n	spirited is SOUR's own positiveTrait; boiled does nothing
sweet-fermented-kidney	kidney	sweet	fermented	sympathetic	engrossed	unsympathetic	1	3	1	1	weak	weak	n	bean: sympathetic is mung's, and mung is in this column | sympathy faces outward, fermentation does not; and it near-duplicates compassionate
sweet-fried-edamame	edamame	sweet	fried	motivated	compulsive	unmotivated	2	1	2	1	ok	weak	n	bean: motivated is abstract and would sit on green | motivated is abstract and owes nothing to sweet
sweet-smoked-fava	fava	sweet	smoked	dazzling	glaring	lacklustre	2	2	1	1	weak	ok	n	bean: dazzling is pinto's or adzuki's | dazzle is direct light, smoke diffuses it; the clash goes unregistered
umami-boiled-adzuki	adzuki	umami	boiled	affectionate	needy	chilly	2	1	2	1	ok	ok	n	bean: affectionate is kidney's or mung's | affectionate is SWEET's own positiveTrait
umami-boiled-cannellini	cannellini	umami	boiled	conscientious	guilt-ridden	negligent	2	1	2	1	ok	ok	n	bean: conscientious is navy's dutiful, and navy is in this column | conscientious owes nothing to umami
umami-fermented-edamame	edamame	umami	fermented	observant	hypervigilant	unobservant	1	2	2	1	ok	weak	n	bean: observant is BLACK's own positiveTrait and black is in this column | observant is black's own word; inv is a bare negation
umami-fermented-green	green	umami	fermented	creative	self-indulgent	sterile	1	1	3	1	ok	weak	n	bean: creative is pinto's whole identity, and pinto is in this column | creative is broad and owes nothing to umami
umami-fried-edamame	edamame	umami	fried	keen	voracious	uninterested	2	1	2	1	ok	weak	n	bean: keen is green's eagerness | keenness is spicy's appetite, not umami's depth
umami-fried-green	green	umami	fried	accomplished	self-satisfied	unproven	1	3	1	1	ok	weak	n	bean: accomplishment reverses green's "show up before you're ready" and never registers it | accomplishment is slow, fried is not, and the clash goes unregistered
umami-fried-kidney	kidney	umami	fried	stalwart	unbudging	undependable	2	2	1	1	weak	weak	n	bean: stalwart is navy's | stalwart is long-haul, fried is one motion; exc: unbudging is a near-synonym
umami-roasted-edamame	edamame	umami	roasted	attentive	hovering	absentminded	1	2	2	1	ok	weak	n	bean: attentive is MUNG's own positiveTrait, mung is in this column, and unsentimental cuts against it | inv: absentminded is a capacity, not a stance
bitter-boiled-adzuki	adzuki	bitter	boiled	ceremonious	pompous	offhand	3	2	1	1	ok	ok	n	form: ceremony is not immersion; would sit as well on roasted or dried
bitter-boiled-fava	fava	bitter	boiled	dauntless	foolhardy	fainthearted	3	1	2	1	ok	ok	n	dauntless is the bean's own word; bitter adds nothing
bitter-dried-butter	butter	bitter	dried	tranquil	sedate	rattled	3	1	2	1	weak	ok	n	placid/tranquil/still are three near-synonyms in one bitter row; bitter is not separating
