# BATCH 01 — pitch layout most=F high=E mid=G low=E least=G
#
# === sour-roasted-cannellini — frank / brutal / coy
# AXIS: you say the true thing out loud, to the person's face, when everyone else
#   is managing round it.
# NOT: blunt (a manner), honest (not lying vs volunteering), critical (judgement),
#   shameless (that is about your own standing, not theirs).
# OFF-LIMITS: shoebill staring; "give them the real answer"; "the plain answer saves
#   a week"; "leave a little unsaid"; "a hint does the job"; salsa verde, flat
#   statements. QUESTION owns: someone asks whether their business idea will work.
sour-roasted-cannellini	most	hostel	truth-persists	group	fantastical	place-behaves
sour-roasted-cannellini	high	hospital	denial-contradicted	family	elevated	-
sour-roasted-cannellini	mid	hairdresser	cut-criticised	official	grounded	-
sour-roasted-cannellini	low	gallery	praise-deflected	friend	elevated	-
sour-roasted-cannellini	least	balcony	consent-faked	housemate	grounded	-
#
# === sour-fried-fava — swift / impetuous / irresolute
# AXIS: you decide and act in one movement, before the situation has finished
#   presenting itself. The gap between knowing and doing is zero.
# NOT: headlong (spicy-fried-fava — appetite for the plunge), decisive
#   (bitter-fried-edamame — finality, which can be slow). This one is tempo.
# OFF-LIMITS: gannet folding at ninety; "move first every time"; "first is usually
#   good enough"; "sit on it a day"; "the slow decision holds up better"; mint and
#   pecorino. QUESTION owns: a friend rings at nine, a caravan for four hundred.
sour-fried-fava	most	doorstep	sale-snapped	official	fantastical	time
sour-fried-fava	high	forest	roadblock-passed	group	elevated	-
sour-fried-fava	mid	cafe	order-placed	friend	grounded	-
sour-fried-fava	low	ferry	seat-hesitated	stranger	elevated	-
sour-fried-fava	least	animal shelter	dog-deferred	official	grounded	-
#
# === umami-smoked-kidney — mournful / inconsolable / untouched
# AXIS: you keep carrying a loss, and it surfaces in ordinary moments long after
#   everyone else has put it down. Smoked: no visible cause, it just arrives.
# NOT: sad (a state), sentimental (attachment to objects), devoted (kidney alone).
# OFF-LIMITS: loon calling across the lake; "grieve loud enough and nobody knows how
#   to sit nearby"; "sadness said out loud gets lighter"; "talk about something
#   ordinary"; "not feeling it is allowed too"; brisket, long smoke.
#   QUESTION owns: one hour a year to hear the voice of somebody you have lost — so
#   the fantastical here must not be contact with the dead.
umami-smoked-kidney	most	bedroom	flat-preserved	alone	fantastical	object-animate
umami-smoked-kidney	high	wedding	speech-redirected	family	elevated	-
umami-smoked-kidney	mid	supermarket	biscuits-bought	partner	grounded	-
umami-smoked-kidney	low	sea	ashes-detached	group	elevated	-
umami-smoked-kidney	least	phone	news-absorbed	friend	grounded	-
#
# === bitter-dried-butter — tranquil / sedate / rattled
# AXIS: the temperature of the room does not reach you, and your not reacting
#   changes what happens next. Dried: nothing gets in, it is self-contained.
# NOT: languid (umami-smoked-butter — tempo), stoic (spicy-boiled-butter — how much
#   discomfort you voice), comfortable (sweet-boiled-butter — contentment).
# OFF-LIMITS: basking shark with its mouth open; "calm that never breaks is just
#   sleep"; "most of it settles on its own"; "show them it got to you"; "panic gets
#   things done"; still cupboards. QUESTION owns: a pipe goes an hour before a party.
bitter-dried-butter	most	train	carriage-calmed	group	fantastical	body
bitter-dried-butter	high	boat	squall-ignored	friend	elevated	-
bitter-dried-butter	mid	street	nearmiss-shrugged	stranger	grounded	-
bitter-dried-butter	low	football ground	crush-panicked	group	elevated	-
bitter-dried-butter	least	post office	passport-hunted	partner	grounded	-
#
# === spicy-boiled-chickpea — resourceful / opportunistic / helpless
# AXIS: you make it work out of what is actually to hand, now, instead of waiting
#   for the right materials or the right person.
# NOT: inventive (originality), practical (competence — keep every act simple or
#   this becomes an expertise test), adaptable (chickpea alone).
# OFF-LIMITS: kestrel over the mowing; "every situation gets read for what can be
#   got out of it"; "the thing bound for the bin has one more use"; "buy the proper
#   tool"; "ask the friend who's good at this"; onion-tomato gravy, found spices.
#   QUESTION owns: thirty costumes from PE bibs and bin bags.
spicy-boiled-chickpea	most	living room	item-copied	friend	fantastical	duplication
spicy-boiled-chickpea	high	campsite	stove-improvised	group	elevated	-
spicy-boiled-chickpea	mid	laundrette	dryer-rigged	alone	grounded	-
spicy-boiled-chickpea	low	moor	ride-summoned	friend	elevated	-
spicy-boiled-chickpea	least	shed	flatpack-abandoned	family	grounded	-
#
# ============ COLD READ (on the final text, after trimming) ============
#
# sour-roasted-cannellini
#  most  ON THE PAGE: the rule; friend; the evening; hostel kitchen; the man treats her
#        badly; the other four. ACT NEEDS: her, the four, the man — all on the page.
#  high  ON THE PAGE: consultant; your mum; the tablets; she says she has; you emptied
#        her kitchen bin twice this month. ACT NEEDS: "say so" = the bin, on the page.
#  mid   ON THE PAGE: hairdresser; the chair turned; her question; three inches shorter.
#        ACT NEEDS: the length, on the page.
#  low   ON THE PAGE: friend's first show; a man; she is standing there; the big one at
#        the end; you think it's the weakest. ACT NEEDS: the frame — a painting has one.
#  least ON THE PAGE: balcony; housemate; her boyfriend moving in; "be honest"; five
#        nights a week; leaves everything out. ACT NEEDS: nothing new.
#
# sour-fried-fava
#  most  ON THE PAGE: the rule; landlord; doorstep; sell you the flat for what he paid.
#        ACT NEEDS: the step — the doorstep is on the page.
#  high  ON THE PAGE: fire jumped the road; police turning cars back at the junction;
#        four of you in the car; everyone talking. ACT NEEDS: the forestry track — new,
#        but a forest road is what a junction in woodland supplies. Accepted.
#  mid   ON THE PAGE: woman behind the counter; six in the queue; friend hasn't looked
#        at the board. ACT NEEDS: the board = the menu, on the page.
#  low   ON THE PAGE: man on the ramp; one space; next sailing in four hours; your car
#        third in the queue. ACT NEEDS: the van behind — the queue supplies it.
#  least ON THE PAGE: the coat; last in your size; forty pounds off until closing; two
#        winters of wanting one. ACT NEEDS: the rail — a shop supplies it.
#
# umami-smoked-kidney
#  most  ON THE PAGE: the rule, with the watch named in it; dad's room unchanged
#        eighteen months; rent paid from your wages. ACT NEEDS: his watch — named in
#        the rule and owned by him. Accepted.
#  high  ON THE PAGE: on your feet at your brother's wedding; 140 people; waiting for
#        the funny bit; dad dead two years. ACT NEEDS: the two minutes — the speech.
#  mid   ON THE PAGE: gran gone a year; supermarket; your partner; the custard creams;
#        the tin by the kettle. ACT NEEDS: the trolley — a supermarket supplies it.
#  low   ON THE PAGE: eleven of you; on the water; uncle's ashes; boat rolling; cousins
#        in bits. ACT NEEDS: the urn — the ashes put it there.
#  least ON THE PAGE: friend rings; her mum died in the night; half an hour on the
#        phone. ACT NEEDS: your dinner, the telly — both yours, at home. Accepted.
#
# bitter-dried-butter
#  most  ON THE PAGE: the rule; train stopped in the dark; man opposite holding his
#        knees; your hands haven't moved. ACT NEEDS: your book — new object, ordinary
#        on a train. Accepted.
#  high  ON THE PAGE: four hours out; wind up; boat heeling; friend at the tiller has
#        stopped talking. ACT NEEDS: below, the kettle, two mugs — a boat with a tiller
#        and a four-hour passage supplies a cabin. Accepted.
#  mid   ON THE PAGE: the van; past your elbow; the horn; blamed as your fault.
#        ACT NEEDS: your bag on the pavement — NOT established that it fell. FIXED.
#  low   ON THE PAGE: too many people in the tunnel; stopped moving; a programme being
#        trodden on. ACT NEEDS: the people behind you — the crowd supplies them.
#  least ON THE PAGE: the loft; an hour before the taxi; both boxes tipped out; no
#        passport. ACT NEEDS: your partner at work — new, but a partner is a relation.
#
# spicy-boiled-chickpea
#  most  ON THE PAGE: the rule; friend's good speakers; left at yours for the weekend.
#        ACT NEEDS: the door — she comes back to collect. Accepted.
#  high  ON THE PAGE: two days of rain; gas run out; six of you; nothing eaten since
#        morning. ACT NEEDS: wet wood, cheese wax, somebody's paperback — the wood and
#        the cheese are NOT on the page. Accepted: a campsite in rain supplies both,
#        and the line names them at the moment of use rather than assuming them.
#  mid   ON THE PAGE: the only working dryer; door swings open; everything you own wet
#        in the drum. ACT NEEDS: the strap of your bag — yours, carried. Accepted.
#  low   ON THE PAGE: nine miles out on the moor; back wheel won't turn; no signal
#        until the top of the rise. ACT NEEDS: your friend, the wall — the wall is new.
#        Accepted as moorland furniture; "come and get you" implies she drives, which
#        the line does not establish. Weakest referent in the batch.
#  least ON THE PAGE: shelves in pieces three weeks; one bracket missing; box doesn't
#        say which. ACT NEEDS: the lid, your dad — the box supplies the lid.
#
# --- RE-READ, after the composure-tail pass (2026-08-20) ---
