# BATCH 12 — pitch layout most=G high=G mid=E low=G least=E
# Elevated slots are mid and least. Least is a withdrawal pole in four of the five
# entries, so least takes LANE B throughout; mid takes whichever lane the scene earns,
# declared per row.
#
# THREE SEPARATIONS DONE FIRST:
#   bitter-dried-mung (clinical) is CARE delivered as procedure. Both halves must be on
#     the page every time — take the care away and it is coldness, take the procedure
#     away and it is composure. It is not brisk (bitter-roasted-green, batch 09 —
#     tempo) and not forensic (bitter-fried-black — analysis of a thing).
#   sour-fermented-black (perceptive) is a PERCEPTION TRAIT and takes that rule: one
#     concrete deniable signal, the rest of the scene pointing the other way, an act
#     out of proportion to it, and the reader's inference never written down. It is not
#     observant (noticing detail) and not insightful (umami-roasted-black, batch 06 —
#     understanding what people are). Sour makes it unillusioned, fermented makes it
#     private — the reading is arrived at alone and acted on before it is said.
#   sweet-fried-chickpea (funny) — the entry blurb is explicit that it is not one-liners
#     but a room coming out lighter. So NO facet writes a joke. Writing the gag would
#     make the vote a judgement of my material and turn Resist into "that isn't funny".
#     Every act here is the MOVE that lightens — starting something, doing the daft
#     version — and the scene supplies what the lightening costs.
#
# === bitter-roasted-kidney — proud / vainglorious / self-effacing
# AXIS: you say what you made and what it took, out loud and in full, and you do not
#   shrink it to make anybody comfortable. Everything said is true.
# NOT: confident (spicy-roasted-edamame, batch 08 — belief in what you can do next),
#   vain (appearance), distinguished (standing other people confer). This is ownership
#   of work already done.
# OFF-LIMITS: a peafowl opening the whole tail; "pride grows until it needs an audience
#   to stand up"; "take the credit plainly"; "say somebody else did it"; "nobody minds a
#   modest person"; ancho, coffee, cacao.
#   OLD FACETS: a folder of photographs at a woodwork exhibition; a laid hedge walked
#   gate to gate; a marathon medal got out of a drawer; the restaurant you opened being
#   praised at the next table; a name read out at a prize evening. So no craft
#   exhibition, no medals, no prize-giving.
#   QUESTION owns: the contract table, and the bridge everyone drove over.
bitter-roasted-kidney	most	restaurant	credit-recaptured	family	grounded
bitter-roasted-kidney	high	animal shelter	runs-claimed	stranger	grounded
bitter-roasted-kidney	mid	lido	name-requested	official	elevated
# LANE A — the board is engraved and goes on the wall; the names on it are the names for good.
bitter-roasted-kidney	low	airbnb	recipe-deflected	friend	grounded
bitter-roasted-kidney	least	auction house	lot-anonymised	official	elevated
# LANE B — the room behind an auction: the reserve, the book, what a name on a lot is worth.
#
# === bitter-dried-mung — clinical / cold / mawkish
# AXIS: in the moment that needs handling you do the useful thing, and the feeling is
#   postponed — care delivered as procedure.
# NOT: composed (not panicking), brisk (tempo), forensic (analysis). The help has to be
#   real help, competently given, with the emotional register simply absent.
# OFF-LIMITS: a mantis taking the fly mid-air; "precision without warmth reads as
#   contempt"; "the unsentimental read is usually accurate"; "say the soft thing too";
#   "sentiment is what people remember"; mangodi, fenugreek, dust.
#   OLD FACETS: counting seconds at a weir; a ewe down in the lambing shed; a friend's
#   letter across a table of cold food; sitting on the step with somebody; a leaving
#   speech with the microphone taken off you.
#   QUESTION owns: a man down on the pavement, bleeding, with the crowd doing nothing —
#   so NO emergency and NO first aid anywhere in this entry. The trait has to be shown
#   in slow trouble instead, which is the harder and better half of it.
bitter-dried-mung	most	pub	budget-produced	friend	grounded
bitter-dried-mung	high	vets	form-signed	friend	grounded
bitter-dried-mung	mid	food bank	entitlement-listed	stranger	elevated
# LANE B — the referral, the vouchers, what is actually on the shelf and who decides.
bitter-dried-mung	low	charity shop	sympathy-repeated	neighbour	grounded
bitter-dried-mung	least	churchyard	eulogy-started	family	elevated
# LANE B — how an interment actually runs: the small hole already dug, the man waiting with the spade, the ten minutes it is allotted.
#
# === sour-fermented-black — perceptive / suspicious / undiscerning
# AXIS: you read what is actually going on from one small true detail, privately, and
#   move on it before anybody has said anything.
