# BATCH 21 — pitch layout most=G high=E mid=G low=E least=G
# Elevated slots are HIGH and LOW. High takes LANE A in all five (it is the trait at
# full pitch and can carry jeopardy). Low takes LANE B in all five — low is a
# withdrawal or a slackening in every entry here, and jeopardy deflates it.
#
# THE OBJECT IS NAMED IN THE ROW. Not "a decision about staying" but the residency form
# that cannot be posted and flown on in the same week; not "a hardship fund" but the
# eviction date against the run-out meter; not "a big outfit" but the thing that will
# be in every photograph on every wall.
#
# NEIGHBOURS — taken from src/content/trait-neighbours.tsv, entries read, separations
# written here. No `!` same-batch flags in this batch, but see the note at the end.
#   liminal (bitter-smoked-chickpea) vs footloose (spicy-smoked-green), otherworldly
#     (bitter-smoked-fava), eerie (bitter-smoked-green), hazy (sweet-smoked-butter).
#     Footloose is MOVEMENT — going, the next town by morning, and what it refuses is a
#     commitment to stay. Otherworldly ACTS AGAINST MATERIAL INTEREST on something
#     wordless. Eerie is a signal from somewhere else. Hazy does not know where it is.
#     Liminal is none of those: it knows exactly where it is, which is BETWEEN TWO
#     DEFINED STATES, and it stays there on purpose. It can be entirely stationary and
#     nothing about it is supernatural. So every facet here puts two named states on
#     the page with the reader in the gap.
#   judicious (bitter-boiled-cannellini) vs measured (bitter-boiled-black), careful
#     (bitter-boiled-mung), circumspect (bitter-dried-chickpea), discerning
#     (sour-fermented-cannellini). Careful is about HARM — the third opinion, the
#     cracked seal. Circumspect is wariness of PEOPLE you cannot vouch for. Discerning
#     is TASTE: which is better. Measured is the close one and it is about PACE —
#     refusing to be hurried, "I'll text you in the morning"; it resists pressure.
#     Judicious is the WEIGHING ITSELF: two real options, reasons on both sides, and a
#     verdict produced. So nothing here is unsafe, nobody here is hurrying the reader,
#     and every facet ends in a verdict rather than a delay.
#   challenging (sour-fried-kidney) vs forthright (sour-roasted-edamame), fierce
#     (sour-dried-kidney), inquisitive (bitter-boiled-green), defiant
#     (umami-roasted-fava). Forthright says YOUR OWN thing plainly. Fierce is
#     protective and needs somebody being wronged. Inquisitive asks for the ANSWER'S
#     sake. Defiant goes at an order. Challenging goes at a CLAIM somebody has made and
#     not earned, and the question is a TEST, not a request — the reader may already
#     know the answer. So every facet has a specific claim on the page, no victim, and
#     no authority being disobeyed.
#   flamboyant (spicy-roasted-pinto) vs expansive (umami-roasted-pinto), demonstrative
#     (spicy-roasted-mung), regal (umami-smoked-cannellini), shameless
#     (bitter-roasted-fava). Expansive is ABUNDANCE — the full tour, the itinerary.
#     Demonstrative is FEELING declared. Regal does not perform at all; it holds still
#     and lets them come. Shameless merely does not mind being looked at. Flamboyant
#     GOES OUT AND IS LOOKED AT on purpose, and the display is the gift. So every facet
#     has a chosen visible spectacle in front of named people, and none of them is a
#     declaration of feeling or a rescue.
#   abiding (sweet-dried-black) vs constant (sweet-boiled-black), enduring
#     (umami-dried-navy), lingering (sweet-smoked-navy), steadfast (spicy-smoked-navy).
#     Constant shares the bean AND the flavour and is the dangerous one: it is a
#     REPEATED ACT in ordinary weather — the Saturday doors, the book token — and the
#     cadence is the content. Enduring is the reader's own persistence at a task.
#     Lingering stays attached to what it has LEFT. Steadfast needs the others to have
#     dropped off. Abiding is dried: it needs NO UPKEEP and survives GAPS, and the
#     content is that the bond is intact after a long silence. So no facet here has a
#     cadence, a streak or a comparison with people who stopped.
#
# WHAT THE NEIGHBOURS FILE DID NOT CATCH — worth recording, because the gap is real.
#   It maps trait to trait. It does not map POLE to trait, and in this batch the
#   collision is exactly there: liminal's LEAST is "planted", which sits on top of
#   abiding's TRAIT, in the same batch. Separated by content, not by axis — planted is
#   ONE ACT OF SETTLING, on a place, choosing a side; abiding is a BOND held across
#   time with a person on the other end. So the chickpea least fixes the reader to a
#   place and has nobody in it to be loyal to, and no black facet is about choosing
#   between two options.
#
# === bitter-smoked-chickpea — liminal / unmoored / planted
# AXIS: you are between two defined states and comfortable there, and you decline to
#   resolve into either one.
# TITLES: Bean Drift, The Twilight Bean, Beanimbo — all the same idea, the state with
#   no name. The Secret Beanden and There's No Place Like Bean are the inverse: a place
#   that is yours and stays yours.
# OFF-LIMITS: a will-o'-the-wisp that lands nobody ashore; "say how long you're
#   staying"; "one unpacked box is enough to live out of"; "sign something with a date
#   on it"; "a name on a deed carries well"; aubergine ash and half-places.
#   OLD FACETS: six months as a night porter with no daylight; the empty house and the
#     hour on the front-room floor; the level crossing with nothing coming; the border
#     town and "a while yet"; the smallholding with forty years of your father in it.
#     So no night shift, no moving-out floor, no level crossing, no border town, no
#     family land.
#   QUESTION owns: the barbecue where the old players and this year's team have split,
#     and standing between the two of them. No facet is the reader between two GROUPS.
bitter-smoked-chickpea	most	caravan	caravan-kept	family	grounded
bitter-smoked-chickpea	high	airport	application-unposted	alone	elevated
# LANE A — the residency form and the flight cannot both happen; get on the plane and the four-month window shuts behind you.
bitter-smoked-chickpea	mid	evening class	class-repeated	official	grounded
bitter-smoked-chickpea	low	animal sanctuary	morning-taken	official	elevated
# LANE B — how the sanctuary actually runs: who holds keys, which animals are on what, the rota with three names on it.
bitter-smoked-chickpea	least	kitchen	room-surrendered	partner	grounded
#
# === bitter-boiled-cannellini — judicious / overcautious / rash
# AXIS: two real options with reasons on both sides, and you weigh them properly before
#   you say which — the weighing takes the time it takes and it ends in a verdict.
# TITLES: Waiting for Beandot is the excess, weighing with nothing arriving. 12 Angry
#   Beans is one holdout taking the room through it properly. Rebel Without a Bean and
#   Thelma & Beanise are the inverse — the move made before any of it is thought about.
# OFF-LIMITS: an eagle owl waiting all night for one kill; "decide it properly and
#   once"; "most decisions keep a day"; "decide the small ones on the spot"; "first to
#   move often takes it"; clear broth and careful salt, a pot that decides late.
#   OLD FACETS: the bridge measured a third time from the other bank; the basket with
#     one mushroom that might be a blusher; the house auction going past the number;
#     the chip pan and the tea towel; the slip road and the lorry on the inside. So no
#     surveying, no foraging, no auction bidding, no kitchen fire, no motorway.
#   QUESTION owns: whether a friend should put an offer in on a house she has seen once.
bitter-boiled-cannellini	most	bike shop	deliberation-prolonged	stranger	grounded
bitter-boiled-cannellini	high	citizens advice	fund-allocated	group	elevated
# LANE A — there is enough for one of the two applications, the money goes today, and the other person gets told no.
bitter-boiled-cannellini	mid	dentist	treatment-weighed	official	grounded
bitter-boiled-cannellini	low	nuclear bunker	volunteering-snap	group	elevated
# LANE B — how the bunker works: the dormitories, the filtration plant, the room where the list of names was kept.
bitter-boiled-cannellini	least	betting shop	bet-placed	friend	grounded
#
# === sour-fried-kidney — challenging / belligerent / acquiescent
# AXIS: somebody states a thing they have not earned, and you make them back it up,
#   there and then.
# TITLES: Roadbean and The Beantlet are both a claim taken apart in front of people.
#   The Beanenger is the small version — whose rule is that? As You Bean and Whatever
#   You Say, Bean are the inverse: it goes through unchallenged.
# OFF-LIMITS: a magpie mobbing a hawk twice its size; "argue with everything and the
#   good argument gets missed"; "the challenge is worth making once"; "let it stand
#   this time"; "agreement gets more done than combat"; tamarind chutney and raised
#   stakes.
#   OLD FACETS: the honey trader and which valley; the book group and the page where it
#     cheats; the driving instructor and whose rule that is; the pub quiz answer wrong
#     on the board; the man with a theory about the buses. So no market stall, no book
#     group, no driving lesson, no pub quiz, and the half-invented-theory shape is spent.
#   QUESTION owns: the work lunch and the trains being better before they were sold off.
sour-fried-kidney	most	waiting room	claim-pressed	stranger	grounded
sour-fried-kidney	high	council offices	paragraph-demanded	official	elevated
# LANE A — the vote is taken tonight and a permission, once it is granted, is granted.
sour-fried-kidney	mid	canteen	rumour-tested	colleague	grounded
sour-fried-kidney	low	museum	date-unquestioned	official	elevated
# LANE B — behind the gallery: the trays, the accession numbers, the things that are not on show.
sour-fried-kidney	least	party	story-unchallenged	friend	grounded
#
# === spicy-roasted-pinto — flamboyant / garish / muted
# AXIS: you turn up as a spectacle on purpose, where people will see it, and the
#   display is the thing you are giving them.
# TITLES: Glitter and Be Bean, Peabean, Bean That Jazz — the turn taken in public.
#   Beanet Please and Shades of Bean are the inverse, and both are about being
#   deliberately unseen.
# OFF-LIMITS: a mandarin duck painted like nothing else on the water; "bright enough
#   and nobody sees what's underneath"; "colour lifts an ordinary day"; "tone it down
#   tonight"; "muted things last longer in the eye"; guajillo and a tray dressing for
#   an audience.
#   OLD FACETS: the coat and the sound effects at somebody else's wedding; the bird of
#     paradise in the bus shelter; the acted-out quiz round; the grey coat on a
#     midweek occasion; going in quietly and leaving before the speeches. THE COAT IS
#     SPENT — no facet in this entry uses one.
#   QUESTION owns: film night on a Tuesday, eight people, and the good coat.
spicy-roasted-pinto	most	street	bucket-upstaged	friend	grounded
spicy-roasted-pinto	high	wedding	outfit-worn	friend	elevated
# LANE A — it is in every photograph, on every wall, for the rest of all their lives.
spicy-roasted-pinto	mid	holiday let	costumes-laid	group	grounded
spicy-roasted-pinto	low	magic show	volunteer-declined	stranger	elevated
# LANE B — you have been shown the gimmick, the table and how the trick is actually done.
spicy-roasted-pinto	least	cinema	birthday-unmarked	alone	grounded
#
# === sweet-dried-black — abiding / immutable / fleeting
# AXIS: what you have with somebody does not weaken with time or silence, and it needs
#   no keeping up — after years of nothing it is exactly where it was.
# TITLES: Beans Are Forever and Abide With Bean are the thing intact across the gap.
